manufacturer,price,number_of_reviews,average_review_rating,sellers,cat,sub_cat,name,info,desc,reviews
436,6.39,2.0,4.0,351,40,151,-3.423639,-1.1894234,-2.085607,-3.9043176
1722,14.99,18.0,4.7,1822,0,28,-0.895285,-1.3158982,-2.6645384,-1.7652841
721,35.04,1.0,5.0,1219,17,33,0.31893268,5.8453517,-1.0418698,-2.228694
301,7.99,2.0,5.0,136,7,140,0.6874301,-1.219908,-2.1912692,-0.32002446
1523,7.67,1.0,5.0,81,17,93,-0.7034695,-1.369308,-2.0805953,-1.012448
373,1.85,1.0,5.0,1822,29,43,-1.0588316,-1.2491951,-1.2079495,2.3481607
1238,1.81,3.0,4.0,1822,12,2,1.9182705,-0.7718753,-1.3309098,-2.7923465
1362,22.98,3.0,5.0,1822,17,33,-1.4056232,-1.011919,-2.1248198,0.07642584
183,3.49,3.0,5.0,1534,0,8,1.458836,-1.2666878,22.461107,5.0538464
544,9.88,6.0,4.8,919,5,49,-6.246251,5.633392,-1.3399743,-1.5441756
902,69.99,1.0,5.0,635,17,110,-0.76089066,-1.0569452,-2.08453,-4.092691
1249,14.45,1.0,5.0,1822,7,140,-0.30825117,-1.0617144,22.461107,-1.7064976
2309,0.9,1.0,5.0,1683,0,29,4.7846975,-1.507799,-2.452285,5.0665684
